domain	identity	contract	witness	disposition
ir_unop	Sqrt	unary_op	src/tests/compiler_ir_types_smoke.tl	checked
ir_mask_binop	And	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_mask_binop	Or	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_vector_reduce	Sum	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_vector_reduce	Min	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_vector_reduce	Max	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_vector_prefix	Sum	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_vector_prefix	Min	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_vector_prefix	Max	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_vector_prefix	All	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_vector_prefix	Any	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_mask_reduce	All	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_mask_reduce	Any	vector_op	scripts/verify-cross-mode-differential.sh	checked
ir_spmd_backend	Scalar	backend_scalar	scripts/verify-cross-mode-differential.sh	checked
ir_spmd_backend	Avx2	backend_avx2	scripts/verify-cross-mode-differential.sh	checked
ir_spmd_backend	Avx512	backend_avx512	scripts/verify-cross-mode-differential.sh	checked
ir_spmd_class	Uniform	spmd_class	scripts/verify-cross-mode-differential.sh	checked
ir_spmd_class	Varying	spmd_class	scripts/verify-cross-mode-differential.sh	checked
ir_spmd_class	Mask	spmd_class	scripts/verify-cross-mode-differential.sh	checked
ir_c_return	Slot	c_return_slot	src/compiler_lower_tests.tl	checked
lower_c_eightbyte	Empty	c_eightbyte	src/compiler_lower_tests.tl	checked
lower_c_eightbyte	Integer	c_eightbyte	src/compiler_lower_tests.tl	checked
lower_c_eightbyte	Sse	c_eightbyte	src/compiler_lower_tests.tl	checked
lower_c_eightbyte	Unsupported	c_eightbyte	src/compiler_lower_tests.tl	fail-closed
lower_c_aggregate	No	c_aggregate	src/compiler_lower_tests.tl	checked
lower_c_aggregate	Integer	c_aggregate	src/compiler_lower_tests.tl	checked
lower_c_aggregate	Register	c_aggregate	src/compiler_lower_tests.tl	checked
lower_c_aggregate	Memory	c_aggregate	src/compiler_lower_tests.tl	checked
lower_c_aggregate	ByRef	c_aggregate	src/compiler_lower_tests.tl	checked
lower_c_aggregate	Sret	c_aggregate	src/compiler_lower_tests.tl	checked
lower_c_aggregate	Unsupported	c_aggregate	src/compiler_lower_tests.tl	fail-closed
object_instr	Label	object_label	src/compiler_backend_object_target_tests.tl	checked
object_instr	Call	object_call	src/compiler_backend_object_target_tests.tl	checked
object_instr	TailCall	object_call	src/compiler_backend_object_target_tests.tl	checked
object_instr	Jump	object_branch	src/compiler_backend_object_target_tests.tl	checked
object_instr	Ja	object_branch	src/compiler_backend_object_target_tests.tl	checked
object_instr	Branch	object_branch	src/compiler_backend_object_target_tests.tl	checked
object_instr	LoadRip	object_rip_read	src/compiler_backend_object_target_tests.tl	checked
object_instr	LoadRipAddress	object_rip_address	src/compiler_backend_object_target_tests.tl	checked
object_instr	LoadRipAddressR11	object_rip_address	src/compiler_backend_object_target_tests.tl	checked
object_instr	StoreRip	object_rip_write	src/compiler_backend_object_target_tests.tl	checked
object_instr	SubRspImm8	object_stack	src/compiler_backend_object_target_tests.tl	checked
object_instr	MovRcxRip	object_rip_read	src/compiler_backend_object_target_tests.tl	checked
object_instr	MovRdxRip	object_rip_read	src/compiler_backend_object_target_tests.tl	checked
object_instr	LoadRipAddressRdx	object_rip_address	src/compiler_backend_object_target_tests.tl	checked
object_instr	StoreR14Rip	object_rip_write	src/compiler_backend_object_target_tests.tl	checked
object_instr	StoreR15Rip	object_rip_write	src/compiler_backend_object_target_tests.tl	checked
object_instr	AddRcxRip	object_rip_rmw	src/compiler_backend_object_target_tests.tl	checked
object_instr	MovRcxRax	object_register	src/compiler_backend_object_target_tests.tl	checked
object_instr	XorpdRip	object_rip_read	src/compiler_backend_object_target_tests.tl	checked
object_instr	Bytes	object_bytes	src/compiler_backend_object_target_tests.tl	checked
object_instr	Raw	object_raw_elf	src/compiler_object_elf.tl	elf-only
object_data	Label	object_label	src/compiler_backend_object_target_tests.tl	checked
object_data	Align	data_record	src/compiler_backend_object_target_tests.tl	checked
object_data	Bytes	data_record	src/compiler_backend_object_target_tests.tl	checked
object_data	String	data_record	src/compiler_backend_object_target_tests.tl	checked
object_data	F64	data_record	src/compiler_backend_object_target_tests.tl	checked
object_data	F32	data_record	src/compiler_backend_object_target_tests.tl	checked
object_data	I64	data_record	src/compiler_backend_object_target_tests.tl	checked
object_data	Zero	data_record	src/compiler_backend_object_target_tests.tl	checked
object_data	SymbolAddress	data_record	src/compiler_backend_object_target_tests.tl	checked
object_data	SymbolRva32	data_rva	src/compiler_backend_object_target_tests.tl	blocked:#7732
object_reloc	Call	reloc_pc	src/compiler_backend_object_target_tests.tl	checked
object_reloc	TailCall	reloc_pc	src/compiler_backend_object_target_tests.tl	checked
object_reloc	Abs64	reloc_abs	src/compiler_backend_object_target_tests.tl	checked
object_reloc	Addr32Nb	reloc_rva	src/compiler_backend_object_target_tests.tl	checked
object_reloc	RipValue	reloc_pc	src/compiler_backend_object_target_tests.tl	checked
object_reloc	RipAddress	reloc_pc	src/compiler_backend_object_target_tests.tl	checked
object_reloc	Branch	reloc_pc	src/compiler_backend_object_target_tests.tl	checked
object_section	Text	object_section	src/compiler_backend_object_target_tests.tl	checked
object_section	Data	object_section	src/compiler_backend_object_target_tests.tl	checked
object_section	Rodata	object_section	src/compiler_backend_object_target_tests.tl	checked
object_section	Bss	object_section	src/compiler_backend_object_target_tests.tl	checked
object_section	Pdata	object_section_win	src/compiler_backend_object_target_tests.tl	checked
object_section	Xdata	object_section_win	src/compiler_backend_object_target_tests.tl	checked
object_section	Rsrc	object_section_win	src/compiler_backend_object_target_tests.tl	checked
object_binding	Local	object_symbol	src/compiler_backend_object_target_tests.tl	checked
object_binding	Export	object_symbol	src/compiler_backend_object_target_tests.tl	checked
object_binding	Extern	object_symbol	src/compiler_backend_object_target_tests.tl	checked
object_symbol	Function	object_symbol	src/compiler_backend_object_target_tests.tl	checked
object_symbol	Data	object_symbol	src/compiler_backend_object_target_tests.tl	checked
object_symbol	Section	object_symbol	src/compiler_backend_object_target_tests.tl	checked
object_symbol	Runtime	object_symbol	src/compiler_backend_object_target_tests.tl	checked
target_abi	Linux	sysv_abi	src/compiler_regalloc_tests.tl	checked
target_abi	Windows	win64_abi	src/compiler_regalloc_tests.tl	checked
backend_target	Linux	sysv_abi	src/compiler_regalloc_tests.tl	checked
backend_target	Windows	win64_abi	src/compiler_regalloc_tests.tl	checked
backend_mode	Scalar	backend_scalar	scripts/verify-cross-mode-differential.sh	checked
backend_mode	Avx2	backend_avx2	scripts/verify-cross-mode-differential.sh	checked
backend_mode	Avx512	backend_avx512	scripts/verify-cross-mode-differential.sh	checked
object_abi_context	Call	object_abi_context	src/compiler_backend_object_target_tests.tl	subset:#7434
object_abi_context	FunctionEntry	object_abi_context	src/compiler_backend_object_target_tests.tl	subset:#7434
object_abi_context	FunctionReturn	object_abi_context	src/compiler_backend_object_target_tests.tl	subset:#7434
reg_scratch_class	Gp	scratch_gp	src/compiler_regalloc_tests.tl	checked
reg_scratch_class	Xmm	scratch_xmm	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	CallTarget	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	CallStage	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	CallMemoryXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	AggregateWord	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	PhiCycle	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	PhiCycleXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	PhiStage	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	SwitchIndex	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	SwitchTable	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	BoundsLength	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	BoundsIndex	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	ShuffleActive	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	ShuffleSelector	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	MemoryAddress	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	MemoryIndex	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	MemoryValue	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	CopyDst	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	CopySrc	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	CopyValue	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	CopyValueXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	SplatValueGp	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	SplatValueXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	SimdAddressBase	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	SimdAddressIndex	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	TailMaskCount	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	TailMaskIndex	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	TailMaskBits	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	VectorPrefixCarry	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	VectorPrefixBits	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	VectorPrefixValue	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	VectorPrefixWork0	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	VectorPrefixWork1	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	VectorReduceAccumulator	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	VectorReduceScratch	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatCastValueXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatCastValueGp	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatCastScratchGp	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatBitcastValueXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatBitcastValueGp	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatMoveValueXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatMemoryValueXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatArithmeticResultXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatArithmeticRhsXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatCompareLhsXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatCompareRhsXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatCompareResultGp	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatUnaryResultXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatReturnResultXmm	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FloatReturnResultGp	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	ScalarPrimary	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	ScalarSecondary	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	ScalarTertiary	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FixedRax	scratch_fixed	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FixedRdx	scratch_fixed	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	FixedRcx	scratch_fixed	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	BranchTest	scratch_role	src/compiler_regalloc_tests.tl	checked
reg_scratch_role	CpuIdSave	scratch_role	src/compiler_regalloc_tests.tl	checked
