# ci-gate-ledger-schema	2
# count	all	121
# count	linux	118
# count	windows	105
id	hosts	label	needs
stage2-optimization-corpus-correctness	all	stage2 optimization corpus correctness	bootstrap-fixpoint
stage2-optimization-corpus-opt2-runtime-correctness	all	stage2 optimization corpus opt2 runtime correctness	bootstrap-fixpoint
stage2-stdlib-modules-and-fixtures	all	stage2 stdlib modules and fixtures	bootstrap-fixpoint
stage2-stdlib-selfhost-verifier	all	stage2 stdlib selfhost verifier	bootstrap-fixpoint
stage2-spmd-simd-comparison	all	stage2 SPMD SIMD comparison	bootstrap-fixpoint
stage2-cross-mode-semantic-abi-differential	all	stage2 cross-mode semantic/ABI differential	bootstrap-fixpoint
stage2-spmd-lane-identity	all	stage2 SPMD lane identity	bootstrap-fixpoint
stage2-spmd-broadcast	all	stage2 SPMD broadcast	bootstrap-fixpoint
stage2-docs-pages-build-path	all	stage2 docs Pages build path	bootstrap-fixpoint
stage2-cli-host-action-smoke	linux	stage2 CLI host-action smoke	bootstrap-fixpoint
stage2-stdlib-documentation	linux	stage2 stdlib documentation	bootstrap-fixpoint
linux-instruction-count-baseline	linux	Linux instruction-count baseline	bootstrap-fixpoint
linux-heavy-instruction-count-baseline	linux	Linux heavy instruction-count baseline	bootstrap-fixpoint
stage2-native-link-generated-programs	linux	stage2 native link generated programs	bootstrap-fixpoint
stage2-rooted-linux-filesystem-boundary	linux	stage2 rooted Linux filesystem boundary	bootstrap-fixpoint
stage2-linux-process-failure-boundary	linux	stage2 Linux process failure boundary	bootstrap-fixpoint
windows-native-link-build-run	windows	windows native link build/run	bootstrap-fixpoint
ci-compiler-artifact-hosted-trace-completeness	all	CI compiler artifact hosted trace completeness	*
