domain	identity	targets	optimizer_effect	memory	access	provenance	ordering	failure	abi	obligation	witness	disposition	source_site
ir_instr	VectorStore	both	MemoryWrite	write	element-width+lane-count	live-array	effect-barrier+all-lanes-active	bounds-abort-active-only	spmd-private	full-width access requires all lanes active; tails use predicated store	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrInstr.VectorStore
ir_instr	PredicatedStore	both	MemoryWrite	write	element-width+lane-mask	live-array	effect-barrier+active-mask	bounds-abort-active-only	spmd-private	masked-off lane must not issue a memory write	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrInstr.PredicatedStore
ir_instr	PredicatedLoad	both	MemoryRead	read	element-width+lane-mask	live-array	alias-guarded+active-mask	bounds-abort-active-only	spmd-private	masked-off lane must not issue a memory read	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrInstr.PredicatedLoad
ir_instr	GatherLoad	both	MemoryRead	read	per-lane-index+width	live-array	alias-guarded+active-mask	bounds-abort-active-only	spmd-private	validate each active lane address before access	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrInstr.GatherLoad
ir_instr	VectorShuffle	both	Unknown	none	selector+lane-count	active-mask	effect-barrier	selector-abort	spmd-private	invalid active selector aborts and inactive selector is unobserved	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrInstr.VectorShuffle
ir_instr	TailMask	both	Pure	none	start+end+lane-count	active-gang	mode-observable	none	spmd-private	mask exactly the active tail range	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.TailMask
ir_instr	EntryArgc	both	MemoryRead	read	pointer-width	process-entry-storage	stable-input	none	platform-entry	read argc argv envp only from initialized entry state	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.EntryArgc
ir_instr	EntryArgv	both	MemoryRead	read	pointer-width	process-entry-storage	stable-input	none	platform-entry	read argc argv envp only from initialized entry state	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.EntryArgv
ir_instr	EntryEnvp	both	MemoryRead	read	pointer-width	process-entry-storage	stable-input	none	platform-entry	read argc argv envp only from initialized entry state	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.EntryEnvp
ir_instr	CpuId	both	CpuProbe	none	cpu-registers	host-cpu	nonremovable	none	x86_64	preserve probe results and required ordering	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.CpuId
ir_instr	Xgetbv	both	CpuProbe	none	cpu-registers	host-cpu	nonremovable	none	x86_64	preserve probe results and required ordering	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Xgetbv
ir_instr	Syscall	linux-x86_64	Unknown	unknown	syscall-operands	unsafe-os-boundary	effect-barrier	kernel-result	linux-syscall	unsafe caller owns kernel ABI and pointer validity	src/tests/compiler_backend_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Syscall
ir_instr	Call	both	DynamicCall	unknown	signature-dependent	typed-function	effect-barrier	callee-dependent	typelisp	marshal arguments results clobbers and owner moves by signature	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.Call
ir_instr	CallIndirect	both	Unknown	unknown	signature-dependent	typed-callable	effect-barrier	callee-dependent	typelisp	preserve callable effect and descriptor lifetime	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.CallIndirect
ir_instr	CallIndirectC	both	Unknown	unknown	target-c-signature	unsafe-foreign-pointer	effect-barrier	foreign-dependent	c-abi	validate supported target signature stack class and clobbers	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.CallIndirectC
ir_instr	CallCAbiStoreResult	linux-x86_64	Unknown	write	classified-result-slots	unsafe-foreign-pointer	effect-barrier	foreign-dependent	sysv-c	store classified return registers at exact aggregate offsets	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.CallCAbiStoreResult
ir_instr	CallIndirectCAbiStoreResult	linux-x86_64	Unknown	write	classified-result-slots	unsafe-foreign-pointer	effect-barrier	foreign-dependent	sysv-c	store classified return registers at exact aggregate offsets	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.CallIndirectCAbiStoreResult
ir_instr	SpmdCall	both	Unknown	unknown	masked-arg-shape	active-mask	effect-barrier	callee-dependent	spmd-private	match private masked signature and preserve active lanes	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.SpmdCall
ir_instr	TailCall	both	ControlFlow	unknown	signature-dependent	typed-callable	terminator	callee-dependent	typelisp	restore frame and ownership before transferring control	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.TailCall
ir_instr	Store	both	MemoryWrite	write	type-width+alignment	live-typed-place	effect-barrier	none	internal	store only into live aligned place with checked ownership	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Store
ir_instr	Jump	both	ControlFlow	none	branch-target	typed-condition	terminator	none	internal	preserve selected successor and exhaustive-match proof	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Jump
ir_instr	Branch	both	ControlFlow	none	branch-target	typed-condition	terminator	none	internal	preserve selected successor and exhaustive-match proof	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Branch
ir_instr	TotalEnumBranch	both	ControlFlow	none	branch-target	typed-condition	terminator	none	internal	preserve selected successor and exhaustive-match proof	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.TotalEnumBranch
ir_instr	Return	both	ControlFlow	unknown	return-class	typed-result	terminator	none	target-abi	restore callee-saved state and return classified value	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Return
ir_instr	Phi	both	Pure	none	incoming-type	cfg-predecessor	edge-specific	none	internal	select matching predecessor without dropping ownership	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Phi
ir_instr	Pack	both	Pure	none	word-count+layout	typed-group	reorderable-if-dataflow	none	internal	preserve low-word-first group shape and owner provenance	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Pack
ir_instr	Word	both	Pure	none	word-index	typed-group	reorderable-if-dataflow	invalid-index-reject	internal	extract only existing group word	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Word
ir_instr	TailCallIndirect	both	ControlFlow	unknown	signature-dependent	typed-callable	terminator	callee-dependent	typelisp	restore frame and ownership before transferring control	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.TailCallIndirect
ir_instr	Switch	both	ControlFlow	none	branch-target	typed-condition	terminator	none	internal	preserve selected successor and exhaustive-match proof	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Switch
ir_instr	TotalEnumSwitch	both	ControlFlow	none	branch-target	typed-condition	terminator	none	internal	preserve selected successor and exhaustive-match proof	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.TotalEnumSwitch
ir_binop	Add	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Add
ir_binop	Sub	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Sub
ir_binop	Mul	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Mul
ir_binop	Div	both	n/a	none	operator-width	typed-operands	fatal-order-pending-7608	division-abort-or-safe-form	internal	safe-code divide failure cannot be elided by pure effect	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrBinOp.Div
ir_binop	Mod	both	n/a	none	operator-width	typed-operands	fatal-order-pending-7608	division-abort-or-safe-form	internal	safe-code divide failure cannot be elided by pure effect	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrBinOp.Mod
ir_binop	SafeDiv	both	n/a	none	operator-width	typed-operands	fatal-order-pending-7608	division-abort-or-safe-form	internal	safe-code divide failure cannot be elided by pure effect	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrBinOp.SafeDiv
ir_binop	SafeMod	both	n/a	none	operator-width	typed-operands	fatal-order-pending-7608	division-abort-or-safe-form	internal	safe-code divide failure cannot be elided by pure effect	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrBinOp.SafeMod
ir_binop	Eq	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Eq
ir_binop	Ne	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Ne
ir_binop	Lt	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Lt
ir_binop	Le	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Le
ir_binop	Gt	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Gt
ir_binop	Ge	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Ge
ir_binop	BitTestEq	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.BitTestEq
ir_binop	BitTestNe	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.BitTestNe
ir_binop	And	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.And
ir_binop	Or	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.Or
ir_binop	BitAnd	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.BitAnd
ir_binop	BitOr	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.BitOr
ir_binop	BitXor	both	n/a	none	operator-width	typed-operands	reorderable-if-dataflow	none	internal	preserve signedness width and floating edge cases	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrBinOp.BitXor
ir_binop	Shl	both	n/a	none	shift-width	typed-operands	fatal-order-pending-7608	shift-abort	internal	out-of-range shift count must abort before emission	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrBinOp.Shl
ir_binop	Shr	both	n/a	none	shift-width	typed-operands	fatal-order-pending-7608	shift-abort	internal	out-of-range shift count must abort before emission	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrBinOp.Shr
ir_unop	Neg	both	n/a	none	operator-width	typed-operand	reorderable-if-dataflow	none	internal	preserve sign bitwise and sqrt semantics	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrUnOp.Neg
ir_unop	Not	both	n/a	none	operator-width	typed-operand	reorderable-if-dataflow	none	internal	preserve sign bitwise and sqrt semantics	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrUnOp.Not
ir_unop	BitNot	both	n/a	none	operator-width	typed-operand	reorderable-if-dataflow	none	internal	preserve sign bitwise and sqrt semantics	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrUnOp.BitNot
ir_unop	Sqrt	both	n/a	none	operator-width	typed-operand	reorderable-if-dataflow	none	internal	preserve sign bitwise and sqrt semantics	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrUnOp.Sqrt
ir_mask_binop	And	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrMaskBinOp.And
ir_mask_binop	Or	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrMaskBinOp.Or
ir_vector_reduce	Sum	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrVectorReduceOp.Sum
ir_vector_reduce	Min	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrVectorReduceOp.Min
ir_vector_reduce	Max	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrVectorReduceOp.Max
ir_vector_prefix	Sum	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrVectorPrefixOp.Sum
ir_vector_prefix	Min	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrVectorPrefixOp.Min
ir_vector_prefix	Max	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrVectorPrefixOp.Max
ir_vector_prefix	All	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrVectorPrefixOp.All
ir_vector_prefix	Any	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrVectorPrefixOp.Any
ir_mask_reduce	All	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrMaskReduceOp.All
ir_mask_reduce	Any	both	n/a	none	lane-width	active-mask	mode-observable	none	spmd-private	match scalar active-lane semantics	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrMaskReduceOp.Any
ir_spmd_backend	Scalar	both	n/a	none	scalar-lane	typed-program	mode-observable	none	backend	scalar reference preserves source active program order	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrSpmdBackend.Scalar
ir_spmd_backend	Avx2	both	n/a	read+write	vector-lane	active-mask	mode-observable	unsupported-shape-reject	backend	AVX2 memory and masked semantics match scalar reference	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrSpmdBackend.Avx2
ir_spmd_backend	Avx512	both	n/a	read+write	vector-lane	active-mask	mode-observable	unsupported-shape-reject	backend	AVX512 masked memory never touches inactive lanes	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrSpmdBackend.Avx512
ir_spmd_class	Uniform	both	n/a	none	lane-shape	active-mask	mode-observable	none	spmd-private	class identity controls register and mask layout	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrSpmdValueClass.Uniform
ir_spmd_class	Varying	both	n/a	none	lane-shape	active-mask	mode-observable	none	spmd-private	class identity controls register and mask layout	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrSpmdValueClass.Varying
ir_spmd_class	Mask	both	n/a	none	lane-shape	active-mask	mode-observable	none	spmd-private	class identity controls register and mask layout	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrSpmdValueClass.Mask
ir_c_return	Slot	linux-x86_64	n/a	none	slot-offset+class	classified-aggregate	ordered-abi	unsupported-class-reject	sysv-c	slot offset matches source aggregate layout	src/compiler_lower_tests.tl	checked	src/compiler_ir_types.tl:CompilerIrCAbiReturnSlot.Slot
lower_c_eightbyte	Empty	linux-x86_64	n/a	none	eightbyte-class	classified-aggregate	ordered-abi	unsupported-class-reject	sysv-c	integer and SSE classes are preserved per eightbyte	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiEightbyteClass.Empty
lower_c_eightbyte	Integer	linux-x86_64	n/a	none	eightbyte-class	classified-aggregate	ordered-abi	unsupported-class-reject	sysv-c	integer and SSE classes are preserved per eightbyte	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiEightbyteClass.Integer
lower_c_eightbyte	Sse	linux-x86_64	n/a	none	eightbyte-class	classified-aggregate	ordered-abi	unsupported-class-reject	sysv-c	integer and SSE classes are preserved per eightbyte	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiEightbyteClass.Sse
lower_c_eightbyte	Unsupported	linux-x86_64	n/a	none	eightbyte-class	classified-aggregate	ordered-abi	unsupported-class-reject	sysv-c	integer and SSE classes are preserved per eightbyte	src/compiler_lower_tests.tl	fail-closed	src/compiler_lower.tl:LowerCAbiEightbyteClass.Unsupported
lower_c_aggregate	No	both	n/a	none	aggregate-size+alignment	repr-c-or-supported-layout	ordered-abi	unsupported-class-reject	c-abi	register memory byref and sret routes match target classifier	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiAggregate.No
lower_c_aggregate	Integer	both	n/a	none	aggregate-size+alignment	repr-c-or-supported-layout	ordered-abi	unsupported-class-reject	c-abi	register memory byref and sret routes match target classifier	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiAggregate.Integer
lower_c_aggregate	Register	both	n/a	none	aggregate-size+alignment	repr-c-or-supported-layout	ordered-abi	unsupported-class-reject	c-abi	register memory byref and sret routes match target classifier	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiAggregate.Register
lower_c_aggregate	Memory	both	n/a	none	aggregate-size+alignment	repr-c-or-supported-layout	ordered-abi	unsupported-class-reject	c-abi	register memory byref and sret routes match target classifier	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiAggregate.Memory
lower_c_aggregate	ByRef	both	n/a	none	aggregate-size+alignment	repr-c-or-supported-layout	ordered-abi	unsupported-class-reject	c-abi	register memory byref and sret routes match target classifier	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiAggregate.ByRef
lower_c_aggregate	Sret	both	n/a	none	aggregate-size+alignment	repr-c-or-supported-layout	ordered-abi	unsupported-class-reject	c-abi	register memory byref and sret routes match target classifier	src/compiler_lower_tests.tl	checked	src/compiler_lower.tl:LowerCAbiAggregate.Sret
lower_c_aggregate	Unsupported	both	n/a	none	aggregate-size+alignment	repr-c-or-supported-layout	ordered-abi	unsupported-class-reject	c-abi	register memory byref and sret routes match target classifier	src/compiler_lower_tests.tl	fail-closed	src/compiler_lower.tl:LowerCAbiAggregate.Unsupported
object_instr	Label	both	n/a	none	symbol-offset	defined-symbol	emission-order	duplicate-symbol-reject	object	label names resolve to exact section offsets	src/compiler_backend_object_target_tests.tl	checked	src/compiler_object.tl:CompilerObjectX64Instr.Label
